COUNTRY,ADMIN1,ADMIN2,CITYID,YEAR,DEPOP,POP,GRDP,RTL_CMP,FDAC_CMP,EMP,HT_CMP,GRAD,ELMTRY,WLT_CMP,ENT_CMP,BED
한국,충청남도,청양군,KR12012,2010,1,32541,768858,118,118,5319,18,244,1444,151,41,261
한국,충청남도,홍성군,KR12013,2010,0,88078,1785696,570,570,17381,61,1104,5277,134,31,1239
한국,충청남도,예산군,KR12014,2010,1,87002,1762757,344,344,15925,40,1030,4482,90,38,421
한국,충청남도,태안군,KR12015,2010,1,63247,1939723,313,313,9795,31,634,3121,233,65,423
한국,전북특별자치도,전주시,KR13001,2010,0,641525,10177864,4905,4905,143430,665,8878,50572,1587,572,13192
한국,전북특별자치도,군산시,KR13002,2010,1,272601,7986934,1534,1534,70140,178,3018,19168,544,156,2987
한국,전북특별자치도,익산시,KR13003,2010,1,307289,6192055,1869,1869,72320,180,4253,21543,723,229,4040
한국,전북특별자치도,정읍시,KR13004,2010,1,122000,2175921,573,573,21584,65,1779,7806,277,74,1390
한국,전북특별자치도,남원시,KR13005,2010,1,87775,1477504,486,486,14940,45,951,5740,222,40,1217
한국,전북특별자치도,김제시,KR13006,2010,1,94346,2052814,521,521,18711,38,1192,4633,192,32,1391
한국,전북특별자치도,완주군,KR13007,2010,0,85119,2881970,291,291,25253,10,1193,5355,162,25,2895
한국,전북특별자치도,진안군,KR13008,2010,1,27543,474824,74,74,3111,10,167,1084,48,5,199
한국,전북특별자치도,무주군,KR13009,2010,1,25578,484869,95,95,4542,9,218,1190,51,19,0
한국,전북특별자치도,장수군,KR13010,2010,1,23386,455208,71,71,3514,9,265,1030,49,15,6
한국,전북특별자치도,임실군,KR13011,2010,1,30593,667721,107,107,4429,10,123,1256,61,10,300
한국,전북특별자치도,순창군,KR13012,2010,1,30209,558065,101,101,4643,6,256,1444,66,9,777
한국,전북특별자치도,고창군,KR13013,2010,1,60861,1151818,236,236,8923,20,845,2985,117,25,1007
한국,전북특별자치도,부안군,KR13014,2010,1,60138,1003256,266,266,9170,20,536,3063,123,29,1384
한국,전라남도,목포시,KR14001,2010,1,245422,3260328,1814,1814,49208,215,3837,20696,555,227,5328
한국,전라남도,여수시,KR14002,2010,1,293488,23785139,1718,1718,71876,162,3860,20835,458,158,4209
한국,전라남도,순천시,KR14003,2010,0,272620,4559784,2162,2162,56173,198,4496,21616,561,254,6220
한국,전라남도,나주시,KR14004,2010,0,90118,2366373,441,441,19165,53,1100,4638,202,43,7686
한국,전라남도,광양시,KR14005,2010,0,145512,9110251,924,924,51883,98,1896,11876,257,106,1518
한국,전라남도,담양군,KR14006,2010,1,47808,959493,171,171,9885,16,628,1886,89,12,875
한국,전라남도,곡성군,KR14007,2010,1,31886,990810,112,112,6308,9,349,1450,56,9,164
한국,전라남도,구례군,KR14008,2010,1,27375,384504,83,83,3366,8,197,1347,51,10,456
한국,전라남도,고흥군,KR14009,2010,1,73924,1006135,277,277,8867,18,460,3229,109,18,1052
한국,전라남도,보성군,KR14010,2010,1,48792,713796,212,212,5804,10,602,2157,79,14,1032
한국,전라남도,화순군,KR14011,2010,1,69368,1324373,304,304,16256,55,640,4835,197,30,2621
한국,전라남도,장흥군,KR14012,2010,1,42394,660401,183,183,5777,23,395,2265,87,18,726
한국,전라남도,강진군,KR14013,2010,1,41624,606886,155,155,5039,12,461,1958,66,10,1583
한국,전라남도,해남군,KR14014,2010,1,79579,1524751,366,366,11153,30,602,4349,145,31,1566
한국,전라남도,영암군,KR14015,2010,1,60082,3037644,246,246,23143,16,403,3726,93,26,930
한국,전라남도,무안군,KR14016,2010,0,74475,1731461,232,232,10037,23,473,4020,153,22,2427
한국,전라남도,함평군,KR14017,2010,1,36702,639326,125,125,4669,7,459,1585,79,10,334
한국,전라남도,영광군,KR14018,2010,1,57362,1770418,229,229,9958,27,703,3168,113,21,680
한국,전라남도,장성군,KR14019,2010,1,46514,1343812,169,169,9387,25,534,2332,74,17,506
한국,전라남도,완도군,KR14020,2010,1,54269,776837,213,213,6726,19,388,2818,87,18,66
한국,전라남도,진도군,KR14021,2010,1,33743,526640,136,136,4155,9,259,1749,57,12,288
한국,전라남도,신안군,KR14022,2010,1,45428,713778,110,110,4243,3,192,1377,45,9,368
한국,경상북도,포항시,KR15001,2010,1,514755,13676350,3199,3199,146718,389,7500,33562,1019,340,7756
한국,경상북도,경주시,KR15002,2010,1,267098,9366746,1457,1457,77866,178,3218,16646,471,197,2571
한국,경상북도,김천시,KR15003,2010,0,136136,3034771,565,565,27669,67,1759,7637,266,56,1386
한국,경상북도,안동시,KR15004,2010,1,167886,3792347,1159,1159,33858,134,2165,9742,329,122,4050
한국,경상북도,구미시,KR15005,2010,0,404920,16580285,2221,2221,155281,258,6102,33862,732,224,5013
한국,경상북도,영주시,KR15006,2010,1,113926,2102097,695,695,19811,42,1447,6874,202,55,2009
한국,경상북도,영천시,KR15007,2010,1,103190,2476464,540,540,25348,50,1026,5026,183,38,1429
한국,경상북도,상주시,KR15008,2010,1,105607,2085238,454,454,15320,50,1311,5301,170,33,1340
한국,경상북도,문경시,KR15009,2010,1,77391,1092906,313,313,12192,32,853,4059,149,37,574
한국,경상북도,경산시,KR15010,2010,0,240708,5281775,1201,1201,64305,133,2219,16048,464,171,2209
한국,경상북도,군위군,KR15011,2010,1,24736,789315,89,89,3945,6,132,712,26,7,8
한국,경상북도,의성군,KR15012,2010,1,58832,975748,247,247,7110,17,522,1824,91,9,1585
한국,경상북도,청송군,KR15013,2010,1,26715,520088,87,87,3708,10,235,1009,34,7,51
한국,경상북도,영양군,KR15014,2010,1,18451,262348,56,56,2093,9,187,725,30,4,53
한국,경상북도,영덕군,KR15015,2010,1,41377,726165,169,169,5688,17,262,1747,67,20,185
한국,경상북도,청도군,KR15016,2010,1,44391,650619,145,145,6319,14,578,1546,80,9,854
한국,경상북도,고령군,KR15017,2010,1,34678,1260303,135,135,10499,10,215,1624,66,12,284
한국,경상북도,성주군,KR15018,2010,1,45289,1489338,160,160,9773,10,402,1812,78,10,705
한국,경상북도,칠곡군,KR15019,2010,1,119087,4781637,686,686,38440,30,584,8014,247,67,645
한국,경상북도,예천군,KR15020,2010,0,47049,918537,156,156,5545,16,373,1768,69,13,604
한국,경상북도,봉화군,KR15021,2010,1,34567,771248,102,102,5255,11,205,1371,33,25,265
한국,경상북도,울진군,KR15022,2010,1,52430,1450401,218,218,9233,21,485,2932,74,27,304
한국,경상북도,울릉군,KR15023,2010,1,10701,309441,41,41,1912,5,61,389,7,5,26
