CNTRY,admin1,admin2,stdnt10,stdnt20,pop10,pop20,rate
일본,Hokkaido,Fukagawa-shi,987,703,23709,20039,-15.48%
일본,Hokkaido,Furano-shi,1361,991,24259,21131,-12.89%
일본,Hokkaido,Noboribetsu-shi,2555,1985,51526,46391,-9.97%
일본,Hokkaido,Eniwa-shi,4040,3765,69384,70331,1.36%
일본,Hokkaido,Date-shi,1779,1438,36278,32826,-9.52%
일본,Hokkaido,Kitahiroshima-shi,3626,2803,60353,58171,-3.62%
일본,Hokkaido,Ishikari-shi,3395,2943,59449,56869,-4.34%
일본,Hokkaido,Hokuto-shi,3017,2340,48032,44302,-7.77%
일본,Hokkaido,Tobetsu-cho,966,526,18766,15916,-15.19%
일본,Hokkaido,Shinshinotsu-mura,180,125,3515,3044,-13.40%
일본,Hokkaido,Matsumae-cho,358,159,8748,6260,-28.44%
일본,Hokkaido,Fukushima-cho,203,88,5114,3794,-25.81%
일본,Hokkaido,Shiriuchi-cho,244,155,5074,4167,-17.88%
일본,Hokkaido,Kikonai-cho,196,110,5341,3832,-28.25%
일본,Hokkaido,Nanae-cho,1522,1295,28463,27686,-2.73%
일본,Hokkaido,Shikabe-cho,213,161,4767,3760,-21.12%
일본,Hokkaido,Mori-machi,934,615,17859,14338,-19.72%
일본,Hokkaido,Yakumo-cho,959,704,18896,15826,-16.25%
일본,Hokkaido,Oshamambe-cho,253,193,6386,5109,-20.00%
일본,Hokkaido,Esashi-cho,444,248,9004,7428,-17.50%
일본,Hokkaido,Kaminokuni-cho,292,174,5428,4306,-20.67%
일본,Hokkaido,Assabu-cho,205,158,4409,3592,-18.53%
일본,Hokkaido,Otobe-cho,210,128,4408,3403,-22.80%
일본,Hokkaido,Okushiri-cho,145,72,3033,2410,-20.54%
일본,Hokkaido,Imakane-cho,299,215,6186,5072,-18.01%
일본,Hokkaido,Setana-cho,460,268,9590,7398,-22.86%
일본,Hokkaido,Shimamaki-mura,71,43,1781,1356,-23.86%
일본,Hokkaido,Suttsu-cho,146,121,3443,2838,-17.57%
일본,Hokkaido,Kuromatsunai-cho,135,138,3250,2791,-14.12%
일본,Hokkaido,Rankoshi-cho,288,185,5292,4568,-13.68%
일본,Hokkaido,Niseko-cho,232,275,4823,5074,5.20%
일본,Hokkaido,Makkari-mura,97,100,2189,2045,-6.58%
일본,Hokkaido,Rusutsu-mura,103,96,2034,1911,-6.05%
일본,Hokkaido,Kimobetsu-cho,94,72,2490,2156,-13.41%
일본,Hokkaido,Kyogoku-cho,174,134,3811,2941,-22.83%
일본,Hokkaido,Kutchan-cho,870,814,15568,15129,-2.82%
일본,Hokkaido,Kyowa-cho,339,274,6428,5772,-10.21%
일본,Hokkaido,Iwanai-cho,720,509,14451,11648,-19.40%
일본,Hokkaido,Tomari-mura,108,60,1883,1569,-16.68%
일본,Hokkaido,Kamoenai-mura,43,30,1122,870,-22.46%
일본,Hokkaido,Shakotan-cho,99,63,2516,1831,-27.23%
일본,Hokkaido,Furubira-cho,108,100,3611,2745,-23.98%
일본,Hokkaido,Niki-cho,154,163,3800,3180,-16.32%
일본,Hokkaido,Yoichi-cho,1004,736,21258,18000,-15.33%
일본,Hokkaido,Akaigawa-mura,63,59,1262,1165,-7.69%
일본,Hokkaido,Nanporo-cho,428,273,8778,7319,-16.62%
일본,Hokkaido,Naie-cho,316,189,6194,5120,-17.34%
일본,Hokkaido,Kamisunagawa-cho,145,77,4086,2841,-30.47%
일본,Hokkaido,Yuni-cho,284,193,5896,4822,-18.22%
일본,Hokkaido,Naganuma-cho,534,470,11691,10289,-11.99%
일본,Hokkaido,Kuriyama-cho,646,485,13340,11272,-15.50%
일본,Hokkaido,Tsukigata-cho,133,92,4859,3691,-24.04%
일본,Hokkaido,Urausu-cho,98,81,2206,1732,-21.49%
일본,Hokkaido,Shintotsukawa-cho,391,302,7249,6484,-10.55%
일본,Hokkaido,Moseushi-cho,147,100,3462,2693,-22.21%
일본,Hokkaido,Chippubetsu-cho,112,100,2730,2329,-14.69%
일본,Hokkaido,Uryu-cho,147,101,3049,2389,-21.65%
일본,Hokkaido,Hokuryu-cho,98,65,2193,1724,-21.39%
일본,Hokkaido,Numata-cho,147,90,3612,2909,-19.46%
일본,Hokkaido,Takasu-cho,483,315,7345,6567,-10.59%
일본,Hokkaido,Higashikagura-cho,725,681,9292,10127,8.99%
일본,Hokkaido,Tohma-cho,361,278,7087,6319,-10.84%
일본,Hokkaido,Pippu-cho,173,146,4042,3520,-12.91%
일본,Hokkaido,Aibetsu-cho,145,91,3328,2605,-21.72%
일본,Hokkaido,Kamikawa-cho,197,107,4532,3500,-22.77%
일본,Hokkaido,Higashikawa-cho,455,464,7859,8314,5.79%
일본,Hokkaido,Biei-cho,565,445,10956,9668,-11.76%
일본,Hokkaido,Kamifurano-cho,671,529,11545,10348,-10.37%
일본,Hokkaido,Nakafurano-cho,299,256,5477,4733,-13.58%
일본,Hokkaido,Minamifurano-cho,130,94,2814,2376,-15.57%
일본,Hokkaido,Shimukappu-mura,59,26,1394,1306,-6.31%
일본,Hokkaido,Wassamu-cho,168,143,3832,3192,-16.70%
일본,Hokkaido,Kembuchi-cho,168,105,3565,2926,-17.92%
일본,Hokkaido,Shimokawa-cho,147,135,3775,3126,-17.19%
일본,Hokkaido,Bifuka-cho,233,174,5178,4145,-19.95%
일본,Hokkaido,Otoineppu-mura,23,14,995,706,-29.05%
일본,Hokkaido,Nakagawa-cho,65,63,1907,1528,-19.87%
일본,Hokkaido,Horokanai-cho,87,53,1710,1370,-19.88%
일본,Hokkaido,Mashike-cho,215,158,5078,3908,-23.04%
일본,Hokkaido,Obira-cho,147,116,3717,2994,-19.45%
일본,Hokkaido,Tomamae-cho,175,131,3656,2936,-19.69%
일본,Hokkaido,Haboro-cho,345,298,7964,6548,-17.78%
일본,Hokkaido,Shosambetsu-mura,72,33,1369,1080,-21.11%
일본,Hokkaido,Embetsu-cho,139,110,3084,2520,-18.29%
일본,Hokkaido,Teshio-cho,165,138,3780,2950,-21.96%
일본,Hokkaido,Sarufutsu-mura,168,154,2825,2611,-7.58%
일본,Hokkaido,Hamatombetsu-cho,210,127,4168,3448,-17.27%
일본,Hokkaido,Nakatombetsu-cho,96,59,1974,1637,-17.07%
일본,Hokkaido,Esashi-cho,508,330,9125,7565,-17.10%
일본,Hokkaido,Toyotomi-cho,203,178,4378,3974,-9.23%
일본,Hokkaido,Rebun-cho,120,107,3078,2509,-18.49%
일본,Hokkaido,Rishiri-cho,97,54,2590,2004,-22.63%
일본,Hokkaido,Rishirifuji-cho,108,114,3037,2458,-19.06%
일본,Hokkaido,Horonobe-cho,120,120,2677,2371,-11.43%
일본,Hokkaido,Bihoro-cho,1129,869,21575,18697,-13.34%
일본,Hokkaido,Tsubetsu-cho,245,172,5646,4373,-22.55%
