CNTRY,admin1,admin2,CITYID,grad10,grad20,pop10,pop20,rate
일본,Hokkaido,Mukawa-cho,JP01143,508,559,9746,7651,-21.50%
일본,Hokkaido,Hidaka-cho,JP01144,896,943,13615,11279,-17.16%
일본,Hokkaido,Biratori-cho,JP01145,366,441,5596,4776,-14.65%
일본,Hokkaido,Niikappu-cho,JP01146,326,438,5775,5309,-8.07%
일본,Hokkaido,Urakawa-cho,JP01147,"1,188","1,257",14389,12074,-16.09%
일본,Hokkaido,Samani-cho,JP01148,219,219,5114,4043,-20.94%
일본,Hokkaido,Erimo-cho,JP01149,238,251,5413,4374,-19.19%
일본,Hokkaido,Shinhidaka-cho,JP01150,"1,537","1,587",25419,21517,-15.35%
일본,Hokkaido,Otofuke-cho,JP01151,"3,161","4,046",45085,43576,-3.35%
일본,Hokkaido,Shihoro-cho,JP01152,454,616,6416,5848,-8.85%
일본,Hokkaido,Kamishihoro-cho,JP01153,340,524,5080,4778,-5.94%
일본,Hokkaido,Shikaoi-cho,JP01154,407,511,5702,5266,-7.65%
일본,Hokkaido,Shintoku-cho,JP01155,571,683,6653,5817,-12.57%
일본,Hokkaido,Shimizu-cho,JP01156,702,875,9961,9094,-8.70%
일본,Hokkaido,Memuro-cho,JP01157,"1,388","1,727",18905,18048,-4.53%
일본,Hokkaido,Nakasatsunai-mura,JP01158,364,498,4006,3884,-3.05%
일본,Hokkaido,Sarabetsu-mura,JP01159,247,332,3391,3080,-9.17%
일본,Hokkaido,Taiki-cho,JP01160,397,562,5977,5420,-9.32%
일본,Hokkaido,Hiroo-cho,JP01161,485,455,7881,6387,-18.96%
일본,Hokkaido,Makubetsu-cho,JP01162,"1,799","2,271",26547,25766,-2.94%
일본,Hokkaido,Ikeda-cho,JP01163,534,613,7527,6294,-16.38%
일본,Hokkaido,Toyokoro-cho,JP01164,185,251,3394,3022,-10.96%
일본,Hokkaido,Hombetsu-cho,JP01165,449,488,8275,6618,-20.02%
일본,Hokkaido,Ashoro-cho,JP01166,448,574,7630,6563,-13.98%
일본,Hokkaido,Rikubetsu-cho,JP01167,135,179,2650,2264,-14.57%
일본,Hokkaido,Urahoro-cho,JP01168,261,329,5460,4387,-19.65%
일본,Hokkaido,Kushiro-cho,JP01169,"1,008","1,102",20526,19105,-6.92%
일본,Hokkaido,Akkeshi-cho,JP01170,484,502,10630,8892,-16.35%
일본,Hokkaido,Hamanaka-cho,JP01171,371,435,6511,5507,-15.42%
일본,Hokkaido,Shibecha-cho,JP01172,505,617,8285,7230,-12.73%
일본,Hokkaido,Teshikaga-cho,JP01173,520,609,8278,6955,-15.98%
일본,Hokkaido,Tsurui-mura,JP01174,250,339,2627,2558,-2.63%
일본,Hokkaido,Shiranuka-cho,JP01175,409,451,9294,7289,-21.57%
일본,Hokkaido,Betsukai-cho,JP01176,"1,018","1,252",15855,14380,-9.30%
일본,Hokkaido,Nakashibetsu-cho,JP01177,"1,672","2,072",23982,23010,-4.05%
일본,Hokkaido,Shibetsu-cho,JP01178,361,410,5646,5023,-11.03%
일본,Hokkaido,Rausu-cho,JP01179,212,221,5885,4722,-19.76%
일본,Aomori-ken,Aomori-shi,JP02001,"29,962","35,361",299520,275192,-8.12%
일본,Aomori-ken,Hirosaki-shi,JP02002,"16,777","20,033",183473,168466,-8.18%
일본,Aomori-ken,Hachinohe-shi,JP02003,"20,113","24,395",237615,223415,-5.98%
일본,Aomori-ken,Kuroishi-shi,JP02004,"1,969","2,319",36132,31946,-11.59%
일본,Aomori-ken,Goshogawara-shi,JP02005,"3,386","4,064",58421,51415,-11.99%
일본,Aomori-ken,Towada-shi,JP02006,"4,898","5,891",66110,60378,-8.67%
일본,Aomori-ken,Misawa-shi,JP02007,"3,390","4,203",41258,39152,-5.10%
일본,Aomori-ken,Mutsu-shi,JP02008,"3,954","4,469",61066,54103,-11.40%
일본,Aomori-ken,Tsugaru-shi,JP02009,"1,285","1,490",37243,30934,-16.94%
일본,Aomori-ken,Hirakawa-shi,JP02010,"1,498","2,022",33764,30567,-9.47%
일본,Aomori-ken,Hiranai-machi,JP02011,479,577,12361,10126,-18.08%
일본,Aomori-ken,Imabetsu-machi,JP02012,84,88,3217,2334,-27.45%
일본,Aomori-ken,Yomogita-mura,JP02013,113,109,3271,2540,-22.35%
일본,Aomori-ken,Sotogahama-machi,JP02014,190,203,7089,5401,-23.81%
일본,Aomori-ken,Ajigasawa-machi,JP02015,539,558,11449,9044,-21.01%
일본,Aomori-ken,Fukaura-machi,JP02016,339,348,9691,7346,-24.20%
일본,Aomori-ken,Nishimeya-mura,JP02017,74,61,1594,1265,-20.64%
일본,Aomori-ken,Fujisaki-machi,JP02018,848,"1,077",16021,14573,-9.04%
