CNTRY,admin1,admin2,emp10,emp20,pop10,pop20,rate
한국,경상북도,울진군,9233,20895,52430,48716,-7.08%
한국,경상북도,울릉군,1912,4398,10701,9077,-15.18%
한국,경상남도,통합창원시,320154,468586,1090181,1036738,-4.90%
한국,경상남도,진주시,77651,141801,335037,348096,3.90%
한국,경상남도,통영시,32180,45106,140297,128293,-8.56%
한국,경상남도,사천시,30881,55925,114148,111105,-2.67%
한국,경상남도,김해시,157356,251446,503348,542338,7.75%
한국,경상남도,밀양시,20014,43325,110479,104831,-5.11%
한국,경상남도,거제시,94336,109777,228355,245754,7.62%
한국,경상남도,양산시,81387,159508,260239,352229,35.35%
한국,경상남도,의령군,4648,11669,30162,26800,-11.15%
한국,경상남도,함안군,24036,46252,67207,64182,-4.50%
한국,경상남도,창녕군,12799,30966,61714,61301,-0.67%
한국,경상남도,고성군,12860,22748,57231,51361,-10.26%
한국,경상남도,남해군,6794,16624,49328,42958,-12.91%
한국,경상남도,하동군,7570,17625,51509,44785,-13.05%
한국,경상남도,산청군,5054,16452,35591,34857,-2.06%
한국,경상남도,함양군,7217,14989,41197,39080,-5.14%
한국,경상남도,거창군,10280,24070,63421,61502,-3.03%
한국,경상남도,합천군,6304,17691,51092,44006,-13.87%
한국,제주특별자치도,제주시,116202,241012,417539,492466,17.94%
한국,제주특별자치도,서귀포시,30915,77879,153716,182169,18.51%
일본,Hokkaido,Sapporo-shi,932871,887222,1913545,1973395,3.13%
일본,Hokkaido,Hakodate-shi,132777,114775,279127,251084,-10.05%
일본,Hokkaido,Otaru-shi,60016,47635,131928,111299,-15.64%
일본,Hokkaido,Asahikawa-shi,167809,153242,347095,329306,-5.13%
일본,Hokkaido,Muroran-shi,42582,36394,94535,82383,-12.85%
일본,Hokkaido,Kushiro-shi,86869,72076,181169,165077,-8.88%
일본,Hokkaido,Obihiro-shi,84534,77222,168057,166536,-0.91%
일본,Hokkaido,Kitami-shi,62050,51609,125689,115480,-8.12%
일본,Hokkaido,Yubari-shi,5111,3327,10922,7334,-32.85%
