CNTRY,admin1,admin2,fdac10,fdac20,pop10,pop20,rate
일본,Hokkaido,Kamifurano-cho,124,110,11545,10348,-10.37%
일본,Hokkaido,Nakafurano-cho,46,81,5477,4733,-13.58%
일본,Hokkaido,Minamifurano-cho,23,23,2814,2376,-15.57%
일본,Hokkaido,Shimukappu-mura,14,28,1394,1306,-6.31%
일본,Hokkaido,Wassamu-cho,20,18,3832,3192,-16.70%
일본,Hokkaido,Kembuchi-cho,14,16,3565,2926,-17.92%
일본,Hokkaido,Shimokawa-cho,33,24,3775,3126,-17.19%
일본,Hokkaido,Bifuka-cho,42,33,5178,4145,-19.95%
일본,Hokkaido,Otoineppu-mura,11,7,995,706,-29.05%
일본,Hokkaido,Nakagawa-cho,17,13,1907,1528,-19.87%
일본,Hokkaido,Horokanai-cho,14,11,1710,1370,-19.88%
일본,Hokkaido,Mashike-cho,36,31,5078,3908,-23.04%
일본,Hokkaido,Obira-cho,14,15,3717,2994,-19.45%
일본,Hokkaido,Tomamae-cho,21,23,3656,2936,-19.69%
일본,Hokkaido,Haboro-cho,92,82,7964,6548,-17.78%
일본,Hokkaido,Shosambetsu-mura,10,7,1369,1080,-21.11%
일본,Hokkaido,Embetsu-cho,24,18,3084,2520,-18.29%
일본,Hokkaido,Teshio-cho,30,27,3780,2950,-21.96%
일본,Hokkaido,Sarufutsu-mura,8,8,2825,2611,-7.58%
일본,Hokkaido,Hamatombetsu-cho,28,19,4168,3448,-17.27%
일본,Hokkaido,Nakatombetsu-cho,14,13,1974,1637,-17.07%
일본,Hokkaido,Esashi-cho,59,46,9125,7565,-17.10%
일본,Hokkaido,Toyotomi-cho,38,32,4378,3974,-9.23%
일본,Hokkaido,Rebun-cho,120,97,3078,2509,-18.49%
일본,Hokkaido,Rishiri-cho,35,30,2590,2004,-22.63%
일본,Hokkaido,Rishirifuji-cho,57,44,3037,2458,-19.06%
일본,Hokkaido,Horonobe-cho,26,23,2677,2371,-11.43%
일본,Hokkaido,Bihoro-cho,160,109,21575,18697,-13.34%
일본,Hokkaido,Tsubetsu-cho,28,18,5646,4373,-22.55%
일본,Hokkaido,Shari-cho,125,108,13045,11418,-12.47%
일본,Hokkaido,Kiyosato-cho,21,17,4551,3883,-14.68%
일본,Hokkaido,Koshimizu-cho,30,26,5358,4623,-13.72%
일본,Hokkaido,Kunneppu-cho,23,16,5435,4677,-13.95%
일본,Hokkaido,Oketo-cho,15,11,3428,2775,-19.05%
일본,Hokkaido,Saroma-cho,32,24,5892,4875,-17.26%
일본,Hokkaido,Engaru-cho,148,106,22265,19241,-13.58%
일본,Hokkaido,Yubetsu-cho,43,39,10041,8270,-17.64%
일본,Hokkaido,Takinoue-cho,16,11,3028,2421,-20.05%
일본,Hokkaido,Okoppe-cho,26,20,4301,3628,-15.65%
일본,Hokkaido,Nishiokoppe-mura,9,10,1135,1053,-7.22%
일본,Hokkaido,Omu-cho,39,30,4939,4199,-14.98%
일본,Hokkaido,Ozora-cho,37,37,7933,6775,-14.60%
일본,Hokkaido,Toyoura-cho,23,22,4528,3821,-15.61%
일본,Hokkaido,Sobetsu-cho,25,22,3232,2743,-15.13%
일본,Hokkaido,Shiraoi-cho,133,103,19376,16212,-16.33%
일본,Hokkaido,Atsuma-cho,14,20,4890,4432,-9.37%
일본,Hokkaido,Toyako-cho,105,101,10132,8442,-16.68%
일본,Hokkaido,Abira-cho,42,38,8726,7340,-15.88%
일본,Hokkaido,Mukawa-cho,63,53,9746,7651,-21.50%
일본,Hokkaido,Hidaka-cho,95,72,13615,11279,-17.16%
일본,Hokkaido,Biratori-cho,28,30,5596,4776,-14.65%
일본,Hokkaido,Niikappu-cho,26,22,5775,5309,-8.07%
일본,Hokkaido,Urakawa-cho,101,86,14389,12074,-16.09%
일본,Hokkaido,Samani-cho,26,22,5114,4043,-20.94%
일본,Hokkaido,Erimo-cho,39,34,5413,4374,-19.19%
일본,Hokkaido,Shinhidaka-cho,187,156,25419,21517,-15.35%
일본,Hokkaido,Otofuke-cho,145,121,45085,43576,-3.35%
일본,Hokkaido,Shihoro-cho,32,23,6416,5848,-8.85%
일본,Hokkaido,Kamishihoro-cho,45,38,5080,4778,-5.94%
일본,Hokkaido,Shikaoi-cho,48,34,5702,5266,-7.65%
일본,Hokkaido,Shintoku-cho,62,56,6653,5817,-12.57%
일본,Hokkaido,Shimizu-cho,81,68,9961,9094,-8.70%
일본,Hokkaido,Memuro-cho,76,59,18905,18048,-4.53%
일본,Hokkaido,Nakasatsunai-mura,27,23,4006,3884,-3.05%
일본,Hokkaido,Sarabetsu-mura,15,13,3391,3080,-9.17%
일본,Hokkaido,Taiki-cho,37,40,5977,5420,-9.32%
일본,Hokkaido,Hiroo-cho,59,49,7881,6387,-18.96%
일본,Hokkaido,Makubetsu-cho,85,80,26547,25766,-2.94%
