CNTRY,admin1,admin2,CITYID,hlth10,hlth20,pop10,pop20,rate
대한민국,전라남도,구례군,KR14008,51,63,27375,25719,-6.05%
대한민국,전라남도,고흥군,KR14009,109,170,73924,63922,-13.53%
대한민국,전라남도,보성군,KR14010,79,106,48792,40482,-17.03%
대한민국,전라남도,화순군,KR14011,197,202,69368,62522,-9.87%
대한민국,전라남도,장흥군,KR14012,87,121,42394,37800,-10.84%
대한민국,전라남도,강진군,KR14013,66,105,41624,34597,-16.88%
대한민국,전라남도,해남군,KR14014,145,185,79579,68806,-13.54%
대한민국,전라남도,영암군,KR14015,93,168,60082,53699,-10.62%
대한민국,전라남도,무안군,KR14016,153,230,74475,86132,15.65%
대한민국,전라남도,함평군,KR14017,79,109,36702,32050,-12.68%
대한민국,전라남도,영광군,KR14018,113,149,57362,53099,-7.43%
대한민국,전라남도,장성군,KR14019,74,109,46514,44464,-4.41%
대한민국,전라남도,완도군,KR14020,87,109,54269,49916,-8.02%
대한민국,전라남도,진도군,KR14021,57,81,33743,31227,-7.46%
대한민국,전라남도,신안군,KR14022,45,69,45428,38938,-14.29%
대한민국,경상북도,포항시,KR15001,1019,1402,514755,502916,-2.30%
대한민국,경상북도,경주시,KR15002,471,624,267098,253502,-5.09%
대한민국,경상북도,김천시,KR15003,266,384,136136,140548,3.24%
대한민국,경상북도,안동시,KR15004,329,432,167886,158907,-5.35%
대한민국,경상북도,구미시,KR15005,732,1099,404920,416328,2.82%
대한민국,경상북도,영주시,KR15006,202,264,113926,103119,-9.49%
대한민국,경상북도,영천시,KR15007,183,280,103190,102015,-1.14%
대한민국,경상북도,상주시,KR15008,170,262,105607,97228,-7.93%
대한민국,경상북도,문경시,KR15009,149,215,77391,71406,-7.73%
대한민국,경상북도,경산시,KR15010,464,702,240708,263728,9.56%
대한민국,경상북도,군위군,KR15011,26,50,24736,23256,-5.98%
대한민국,경상북도,의성군,KR15012,91,145,58832,51724,-12.08%
대한민국,경상북도,청송군,KR15013,34,64,26715,25044,-6.25%
대한민국,경상북도,영양군,KR15014,30,40,18451,16692,-9.53%
대한민국,경상북도,영덕군,KR15015,67,99,41377,36313,-12.24%
대한민국,경상북도,청도군,KR15016,80,127,44391,42263,-4.79%
대한민국,경상북도,고령군,KR15017,66,87,34678,31361,-9.57%
대한민국,경상북도,성주군,KR15018,78,100,45289,43414,-4.14%
대한민국,경상북도,칠곡군,KR15019,247,296,119087,114758,-3.64%
대한민국,경상북도,예천군,KR15020,69,152,47049,55613,18.20%
대한민국,경상북도,봉화군,KR15021,33,59,34567,31494,-8.89%
대한민국,경상북도,울진군,KR15022,74,98,52430,48716,-7.08%
대한민국,경상북도,울릉군,KR15023,7,10,10701,9077,-15.18%
대한민국,경상남도,창원시,KR16001,2190,2763,1090181,1036738,-4.90%
대한민국,경상남도,진주시,KR16002,680,989,335037,348096,3.90%
대한민국,경상남도,통영시,KR16003,231,320,140297,128293,-8.56%
대한민국,경상남도,사천시,KR16004,233,314,114148,111105,-2.67%
대한민국,경상남도,김해시,KR16005,1304,1299,503348,542338,7.75%
대한민국,경상남도,밀양시,KR16006,222,257,110479,104831,-5.11%
대한민국,경상남도,거제시,KR16007,338,531,228355,245754,7.62%
대한민국,경상남도,양산시,KR16008,573,921,260239,352229,35.35%
대한민국,경상남도,의령군,KR16009,48,80,30162,26800,-11.15%
대한민국,경상남도,함안군,KR16010,108,188,67207,64182,-4.50%
대한민국,경상남도,창녕군,KR16011,93,160,61714,61301,-0.67%
대한민국,경상남도,고성군,KR16012,90,130,57231,51361,-10.26%
대한민국,경상남도,남해군,KR16013,90,119,49328,42958,-12.91%
대한민국,경상남도,하동군,KR16014,75,125,51509,44785,-13.05%
대한민국,경상남도,산청군,KR16015,59,109,35591,34857,-2.06%
대한민국,경상남도,함양군,KR16016,73,108,41197,39080,-5.14%
대한민국,경상남도,거창군,KR16017,114,166,63421,61502,-3.03%
대한민국,경상남도,합천군,KR16018,84,104,51092,44006,-13.87%
대한민국,제주도,제주시,KR17001,1038,1402,417539,492466,17.94%
대한민국,제주도,서귀포시,KR17002,337,458,153716,182169,18.51%
일본,Hokkaido,Sapporo-shi,JP01001,2041,7710,1913545,1973395,3.13%
일본,Hokkaido,Hakodate-shi,JP01002,365,1101,279127,251084,-10.05%
일본,Hokkaido,Otaru-shi,JP01003,140,523,131928,111299,-15.64%
일본,Hokkaido,Asahikawa-shi,JP01004,312,1670,347095,329306,-5.13%
일본,Hokkaido,Muroran-shi,JP01005,80,289,94535,82383,-12.85%
일본,Hokkaido,Kushiro-shi,JP01006,190,651,181169,165077,-8.88%
일본,Hokkaido,Obihiro-shi,JP01007,244,781,168057,166536,-0.91%
일본,Hokkaido,Kitami-shi,JP01008,102,474,125689,115480,-8.12%
일본,Hokkaido,Yubari-shi,JP01009,9,35,10922,7334,-32.85%
일본,Hokkaido,Iwamizawa-shi,JP01010,67,318,90145,79306,-12.02%
일본,Hokkaido,Abashiri-shi,JP01011,38,132,40998,35759,-12.78%
일본,Hokkaido,Rumoi-shi,JP01012,19,86,24457,20114,-17.76%
일본,Hokkaido,Tomakomai-shi,JP01013,247,582,173320,170113,-1.85%
일본,Hokkaido,Wakkanai-shi,JP01014,31,95,39595,33563,-15.23%
일본,Hokkaido,Bibai-shi,JP01015,25,62,26034,20413,-21.59%
일본,Hokkaido,Ashibetsu-shi,JP01016,14,50,16628,12555,-24.49%
일본,Hokkaido,Ebetsu-shi,JP01017,188,462,123722,121056,-2.15%
일본,Hokkaido,Akabira-shi,JP01018,5,36,12637,9698,-23.26%
일본,Hokkaido,Mombetsu-shi,JP01019,28,60,24750,21215,-14.28%
일본,Hokkaido,Shibetsu-shi,JP01020,33,75,21787,17858,-18.03%
일본,Hokkaido,Nayoro-shi,JP01021,40,98,30591,27282,-10.82%
일본,Hokkaido,Mikasa-shi,JP01022,4,22,10221,8040,-21.34%
일본,Hokkaido,Nemuro-shi,JP01023,37,68,29201,24636,-15.63%
일본,Hokkaido,Chitose-shi,JP01024,83,270,93604,97950,4.64%
일본,Hokkaido,Takikawa-shi,JP01025,50,146,43170,39490,-8.52%
일본,Hokkaido,Sunagawa-shi,JP01026,17,70,19056,16486,-13.49%
일본,Hokkaido,Utashinai-shi,JP01027,3,11,4387,2989,-31.87%
일본,Hokkaido,Fukagawa-shi,JP01028,29,86,23709,20039,-15.48%
일본,Hokkaido,Furano-shi,JP01029,40,78,24259,21131,-12.89%
일본,Hokkaido,Noboribetsu-shi,JP01030,40,126,51526,46391,-9.97%
