CNTRY,admin1,admin2,hitech10,hitech20,pop10,pop20,rate
일본,Miyagi-ken,Tomiya-shi,38,44,47042,51651,9.80%
일본,Miyagi-ken,Zao-machi,4,7,12882,11418,-11.36%
일본,Miyagi-ken,Shichikashuku-machi,2,4,1694,1262,-25.50%
일본,Miyagi-ken,Ogawara-machi,69,68,23530,23571,0.17%
일본,Miyagi-ken,Murata-machi,8,8,11995,10666,-11.08%
일본,Miyagi-ken,Shibata-machi,50,49,39341,38271,-2.72%
일본,Miyagi-ken,Kawasaki-machi,8,8,9978,8345,-16.37%
일본,Miyagi-ken,Marumori-machi,7,7,15501,12262,-20.90%
일본,Miyagi-ken,Watari-cho,24,41,34845,33087,-5.05%
일본,Miyagi-ken,Yamamoto-cho,9,14,16704,12046,-27.89%
일본,Miyagi-ken,Matsushima-machi,120,119,15085,13323,-11.68%
일본,Miyagi-ken,Shichigahama-machi,16,17,20416,18132,-11.19%
일본,Miyagi-ken,Rifu-cho,22,28,33994,35182,3.49%
일본,Miyagi-ken,Taiwa-cho,47,42,24894,28786,15.63%
일본,Miyagi-ken,Osato-cho,2,2,8927,7813,-12.48%
일본,Miyagi-ken,Ohira-mura,1,1,5334,5849,9.66%
일본,Miyagi-ken,Shikama-cho,3,3,7431,6698,-9.86%
일본,Miyagi-ken,Kami-machi,22,26,25527,21943,-14.04%
일본,Miyagi-ken,Wakuya-cho,16,16,17494,15388,-12.04%
일본,Miyagi-ken,Misato-machi,23,30,25190,23994,-4.75%
일본,Miyagi-ken,Onagawa-cho,6,11,10051,6430,-36.03%
일본,Miyagi-ken,Minamisanriku-cho,1,8,17429,12225,-29.86%
일본,Akita-ken,Akita-shi,807,864,323600,307672,-4.92%
일본,Akita-ken,Noshiro-shi,107,112,59084,49968,-15.43%
일본,Akita-ken,Yokote-shi,157,161,98367,85555,-13.02%
일본,Akita-ken,Odate-shi,101,91,78946,69237,-12.30%
일본,Akita-ken,Oga-shi,20,18,32294,25154,-22.11%
일본,Akita-ken,Yuzawa-shi,64,71,50849,42091,-17.22%
일본,Akita-ken,Kazuno-shi,32,29,34473,29088,-15.62%
일본,Akita-ken,Yurihonjo-shi,102,108,85229,74707,-12.35%
일본,Akita-ken,Katagami-shi,25,16,34442,31720,-7.90%
일본,Akita-ken,Daisen-shi,140,142,88301,77657,-12.05%
일본,Akita-ken,Kitaakita-shi,42,42,36387,30198,-17.01%
일본,Akita-ken,Nikaho-shi,26,36,27544,23435,-14.92%
일본,Akita-ken,Semboku-shi,36,39,29568,24610,-16.77%
일본,Akita-ken,Kosaka-machi,9,8,6054,4780,-21.04%
일본,Akita-ken,Kamikoani-mura,1,1,2727,2063,-24.35%
일본,Akita-ken,Fujisato-machi,1,3,3848,2896,-24.74%
일본,Akita-ken,Mitane-cho,16,8,18876,15254,-19.19%
일본,Akita-ken,Happou-cho,5,6,8220,6577,-19.99%
일본,Akita-ken,Gojome-machi,10,14,10516,8538,-18.81%
일본,Akita-ken,Hachirogata-machi,3,3,6623,5583,-15.70%
일본,Akita-ken,Ikawa-machi,4,2,5493,4566,-16.88%
일본,Akita-ken,Ogata-mura,3,4,3218,3011,-6.43%
일본,Akita-ken,Misato-cho,19,19,21674,18613,-14.12%
일본,Akita-ken,Ugo-machi,24,28,16792,13825,-17.67%
일본,Akita-ken,Higashinaruse-mura,1,1,2872,2704,-5.85%
일본,Yamagata-ken,Yamagata-shi,591,603,254244,247590,-2.62%
일본,Yamagata-ken,Yonezawa-shi,176,173,89401,81252,-9.12%
일본,Yamagata-ken,Tsuruoka-shi,211,221,136623,122347,-10.45%
일본,Yamagata-ken,Sakata-shi,228,214,111151,100273,-9.79%
일본,Yamagata-ken,Shinjo-shi,105,111,38850,34432,-11.37%
일본,Yamagata-ken,Sagae-shi,84,94,42373,40189,-5.15%
일본,Yamagata-ken,Kaminoyama-shi,42,50,33836,29110,-13.97%
일본,Yamagata-ken,Murayama-shi,40,35,26811,22516,-16.02%
일본,Yamagata-ken,Nagai-shi,58,54,29473,26543,-9.94%
일본,Yamagata-ken,Tendo-shi,94,97,62214,62140,-0.12%
일본,Yamagata-ken,Higashine-shi,56,57,46414,47682,2.73%
일본,Yamagata-ken,Obanazawa-shi,33,29,18955,14971,-21.02%
일본,Yamagata-ken,Nanyo-shi,67,64,33658,30420,-9.62%
일본,Yamagata-ken,Yamanobe-machi,8,18,15139,13725,-9.34%
일본,Yamagata-ken,Nakayama-machi,19,19,12015,10746,-10.56%
일본,Yamagata-ken,Kahoku-cho,46,50,19959,17641,-11.61%
일본,Yamagata-ken,Nishikawa-machi,10,8,6270,4956,-20.96%
일본,Yamagata-ken,Asahi-machi,4,9,7856,6366,-18.97%
일본,Yamagata-ken,Oe-machi,67,34,9227,7646,-17.13%
일본,Yamagata-ken,Oishida-machi,10,8,8160,6577,-19.40%
일본,Yamagata-ken,Kaneyama-machi,5,3,6365,5071,-20.33%
