CNTRY,admin1,admin2,GRDP10,GRDP20,pop10,pop20,rate
태국,Northern Region,Chiang Rai Province,3170689,4352492,1200423,1295026,7.88%
태국,Northern Region,Mae Hong Son Province,369344,651356,244356,284549,16.45%
태국,Northern Region,Nakhon Sawan Province,3943731,4791950,1073347,1040308,-3.08%
태국,Northern Region,Uthai Thani Province,1075352,1088134,328950,325868,-0.94%
태국,Northern Region,Kamphaeng Phet Province,3942132,4530311,727555,714118,-1.85%
태국,Northern Region,Tak Province,1510338,2724756,526045,670265,27.42%
태국,Northern Region,Sukhothai Province,1554103,2103178,602601,587883,-2.44%
태국,Northern Region,Phitsanulok Province,2861461,4153194,854372,849481,-0.57%
태국,Northern Region,Phichit Province,1628500,2135770,549395,532310,-3.11%
태국,Northern Region,Phetchabun Province,2651145,3377410,993702,981940,-1.18%
태국,Northeastern Region,Nakhon Ratchasima Province,9015436,12667987,2601167,2633207,1.23%
태국,Northeastern Region,Buri Ram Province,2884743,3956999,1566740,1581184,0.92%
태국,Northeastern Region,Surin Province,2420810,3603728,1386277,1378221,-0.58%
태국,Northeastern Region,Si Sa Ket Province,2345219,3318044,1458370,1458580,0.01%
태국,Northeastern Region,Ubon Ratchathani Province,3735100,5550493,1826920,1866697,2.18%
태국,Northeastern Region,Yasothon Province,951495,1277491,540267,534500,-1.07%
태국,Northeastern Region,Chaiyaphum Province,2098081,2777983,1133034,1124924,-0.72%
태국,Northeastern Region,Amnat Charoen Province,539480,879741,373494,376195,0.72%
태국,Northeastern Region,Bueng Kan Province,763325,1056284,412613,422042,2.29%
태국,Northeastern Region,Nong Bua Lam Phu Province,906515,1206687,505071,509470,0.87%
태국,Northeastern Region,Khon Kaen Province,6902381,8964311,1774816,1794531,1.11%
태국,Northeastern Region,Udon Thani Province,3814606,4648851,1557298,1567983,0.69%
태국,Northeastern Region,Loei Province,1550700,2227792,629787,638736,1.42%
태국,Northeastern Region,Nong Khai Province,1429284,1819942,512439,517435,0.97%
태국,Northeastern Region,Maha Sarakham Province,1841784,2698478,945149,953660,0.90%
태국,Northeastern Region,Roi Et Province,2413833,3467133,1308570,1298640,-0.76%
태국,Northeastern Region,Kalasin Province,1939809,2501017,985084,977175,-0.80%
태국,Northeastern Region,Sakon Nakhon Province,1789056,2723845,1129174,1146936,1.57%
태국,Northeastern Region,Nakhon Phanom Province,1310176,1964333,708350,717201,1.25%
태국,Northeastern Region,Mukdahan Province,830114,1097320,342868,350911,2.35%
태국,Southern Region,Nakhon Si Thammarat Province,6391192,7675671,1534887,1550721,1.03%
태국,Southern Region,Krabi Province,3066299,2975958,444967,477770,7.37%
태국,Southern Region,Phangnga Province,1965837,2358925,257493,268229,4.17%
태국,Southern Region,Phuket Province,4645283,5788477,360905,414471,14.84%
태국,Southern Region,Surat Thani Province,7604570,7670576,1023288,1067726,4.34%
태국,Southern Region,Ranong Province,955469,1321728,182648,194372,6.42%
태국,Southern Region,Chumphon Province,2883791,5390634,495310,509208,2.81%
태국,Southern Region,Songkhla Province,9637359,10050519,1378574,1428609,3.63%
태국,Southern Region,Satun Province,1437490,1414774,305879,324098,5.96%
태국,Southern Region,Trang Province,3690809,2863838,631920,640574,1.37%
태국,Southern Region,Phattalung Province,1648955,1639432,514492,523077,1.67%
태국,Southern Region,Pattani Province,2003492,2103963,671615,726015,8.10%
태국,Southern Region,Yala Province,2475669,2099105,500814,538602,7.55%
태국,Southern Region,Narathiwat Province,2558628,1737829,757397,804429,6.21%
